Tarea,Inicio,Fin
ACTA DE INICIO ,2024-07-22 07:00:00,2024-07-22 07:00:00
POLIZAS,2024-07-22 07:00:00,2024-07-22 07:00:00
FASE 1,2024-07-22 07:00:00,2024-08-20 17:00:00
  PRELIMINARES,2024-07-22 07:00:00,2024-07-29 17:00:00
    CONSTRUCCIÓN DE CAMPAMENTO,2024-07-22 07:00:00,2024-07-29 17:00:00
"    LOCALIZACIÓN, TRAZADO Y REPLANTEO. Se utilizará personal experto con equipo de precisión. Se hará con la frecuencia que lo indique la interventoría. Incluye demarcación con pintura, línea de trazado, corte de piso, libretas y planos.",2024-07-22 07:00:00,2024-07-29 17:00:00
"    Instalación de CERRAMIENTO PROVISIONAL en tela verde polietileno de alta densidad y resistencia 65 gr/m2 con una altura de 2,10 m, estacones de madera común para fijación vertical de altura de 2,50 m puesto mínimo cada 2,0 m y para apuntalamiento mínimo c",2024-07-22 07:00:00,2024-07-29 17:00:00
  DEMOLICIONES Y RETIROS,2024-08-01 07:00:00,2024-08-20 17:00:00
    DEMOLICIONES,2024-08-01 07:00:00,2024-08-20 17:00:00
"      DEMOLICIÓN ANDENES O PISOS, cargue, transporte y botada de escombros de ESPESOR MÁXIMO DE 0.25m en CONCRETO. Incluye retiro de cordones, retiro de enchape (baldosa, baldosín forros en arenón, madera, vinilo, granito esmerilado, concreto, pisos en gres, en",2024-08-01 07:00:00,2024-08-20 17:00:00
"      DEMOLICIÓN ESTRUCTURAS DE CONCRETO cargue, transporte y botada de escombros, manual o mecánicamente, de cualquier resistencia, reforzado o ciclópeo, y en cualquier clase de estructura. Incluye retiro de refuerzo y cualquier tipo de acabado (revoques y enc",2024-08-01 07:00:00,2024-08-20 17:00:00
"      DEMOLICIÓN PAVIMENTO ASFÁLTICO (para brecha), cargue, transporte y botada de escombros, HASTA ESPESOR DE 4"". Incluye corte con máquina de disco según trazado y compresor neumático con martillo, además recuperación de los materiales aprovechables o su tran",2024-08-01 07:00:00,2024-08-20 17:00:00
"      DEMOLICIÓN PISO EN CONCRETO de cualquier resistencia con espesor hasta de 12 cm, manual o mecánicamente. Incluye cargue, transporte y botada de escombros, retiro de refuerzo e instalaciones embebidas, compresor neumático con martillo, además recuperación ",2024-08-01 07:00:00,2024-08-20 17:00:00
