Tarea,Inicio,Fin
INICIO DEL PROYECTO,2024-07-22 07:00:00,2024-07-22 07:00:00
EJECUCIÓN DE LA OBRA,2024-07-22 07:00:00,2024-12-18 17:00:00
  FASE 1,2024-07-22 07:00:00,2024-09-04 17:00:00
    Red aguas residuales (Externa),2024-07-22 07:00:00,2024-09-04 17:00:00
      Construcción de cerramientos y campamentos,2024-07-22 07:00:00,2024-07-29 17:00:00
      Localización y replanteo,2024-07-25 07:00:00,2024-08-03 17:00:00
      Demoliciones y retiros,2024-08-01 07:00:00,2024-08-10 17:00:00
      Excavaciones y entibados,2024-08-05 07:00:00,2024-08-14 17:00:00
      Cargue de material de excavación,2024-08-08 07:00:00,2024-08-17 17:00:00
      Nivelación y colocación de cama de triturado para tuberia,2024-08-12 07:00:00,2024-08-21 17:00:00
      Instalación de tuberia novafort,2024-08-17 07:00:00,2024-08-26 17:00:00
      Construcción de llenos,2024-08-22 07:00:00,2024-08-31 17:00:00
"      Construcción de camaras de inspección 1,20",2024-08-26 07:00:00,2024-09-04 17:00:00
    Red aguas lluvias  (Externa),2024-08-01 07:00:00,2024-09-04 17:00:00
      Localización y replanteo,2024-08-01 07:00:00,2024-08-05 17:00:00
      Demoliciones y retiros,2024-08-06 07:00:00,2024-08-12 17:00:00
      Excavaciones y entibados,2024-08-09 07:00:00,2024-08-15 17:00:00
      Cargue de material de excavación,2024-08-12 07:00:00,2024-08-18 17:00:00
      Nivelación y colocación de cama de triturado para tuberia,2024-08-15 07:00:00,2024-08-21 17:00:00
      Instalación de tuberia,2024-08-18 07:00:00,2024-08-24 17:00:00
      Construcción de llenos,2024-08-21 07:00:00,2024-08-27 17:00:00
"      Construcción de camaras de inspección 1,20",2024-08-26 07:00:00,2024-09-01 17:00:00
      Construcción de sumideros,2024-08-29 07:00:00,2024-09-04 17:00:00
    Red de aguas residuales (Sotano) ,2024-08-01 07:00:00,2024-09-04 17:00:00
      Localización y replanteo,2024-08-01 07:00:00,2024-08-05 17:00:00
      Diagnostico de redes,2024-08-06 07:00:00,2024-08-08 17:00:00
      Demoliciones y retiros,2024-08-09 07:00:00,2024-08-15 17:00:00
      Excavaciones y entibados,2024-08-12 07:00:00,2024-08-18 17:00:00
      Cargue de material de excavación,2024-08-15 07:00:00,2024-08-21 17:00:00
      Nivelación y colocación de cama de triturado para tuberia,2024-08-18 07:00:00,2024-08-24 17:00:00
      Instalación de tuberia novafort y pvc -accesorios,2024-08-21 07:00:00,2024-08-27 17:00:00
      Construcción de llenos,2024-08-24 07:00:00,2024-08-30 17:00:00
      Construcción de cajas de inspección,2024-08-29 07:00:00,2024-09-04 17:00:00
    Red de aguas lluvias (Sotano) ,2024-08-05 07:00:00,2024-09-04 17:00:00
      Localización y replanteo,2024-08-05 07:00:00,2024-08-06 17:00:00
      Demoliciones y retiros,2024-08-06 07:00:00,2024-08-12 17:00:00
      Excavaciones y entibados,2024-08-10 07:00:00,2024-08-16 17:00:00
      Cargue de material de excavación,2024-08-12 07:00:00,2024-08-18 17:00:00
      Nivelación y colocación de cama de triturado para tuberia,2024-08-15 07:00:00,2024-08-22 17:00:00
      Instalación de tuberia,2024-08-19 07:00:00,2024-08-26 17:00:00
      Construcción de llenos,2024-08-23 07:00:00,2024-08-30 17:00:00
      Construcción de cajas de sifonadas,2024-08-29 07:00:00,2024-09-04 17:00:00
    Red de abastos (Edificio) ,2024-08-14 07:00:00,2024-08-21 17:00:00
      Retiros,2024-08-14 07:00:00,2024-08-18 17:00:00
      Instalación de tuberia a presión y accesorios,2024-08-15 07:00:00,2024-08-21 17:00:00
    Obras civiles ,2024-08-16 07:00:00,2024-09-04 17:00:00
      Construcción de buitrones,2024-08-16 07:00:00,2024-08-22 17:00:00
      Instalación de cielo falso,2024-08-21 07:00:00,2024-08-24 17:00:00
      Csontrucción de mamposteria,2024-08-23 07:00:00,2024-08-29 17:00:00
      Construcción de revoque,2024-08-27 07:00:00,2024-08-31 17:00:00
      Construcción de enchape,2024-08-29 07:00:00,2024-09-02 17:00:00
      Resane y aplicación de pinturas,2024-09-01 07:00:00,2024-09-04 17:00:00
    FIN EJECUCIÓN - FASE 1,2024-09-04 17:00:00,2024-09-04 17:00:00
