Tarea,Código BIM,Unidad,Cantidad Ejecutada,Cantidad Programada,% Completado,Comienzo Real,Fin Real,Duración Real,% Financiero Ejecutado,Desviación (%),% Programado,Variación de Finalización,Costo Previsto,Costo Real
S.E. VENTANITAS,,,0 hrs,0 hrs,30,2024-09-12 09:00:00,0001-01-01 00:00:00,87 days,415832997,415832997.0,0,0 days,415832997,95450237.75
  INICIO,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0 days,0,0.0,0,0 days,0,0
  Bloque 2,,,0 hrs,0 hrs,71,2024-09-24 09:00:00,0001-01-01 00:00:00,20 days,48220249,48220249.0,0,0 days,48220249,40464974
    Piso 1,,,0 hrs,0 hrs,71,2024-09-24 09:00:00,0001-01-01 00:00:00,20 days,48220249,48220249.0,0,0 days,48220249,40464974
      Aula 3,,,0 hrs,0 hrs,95,2024-09-24 09:00:00,0001-01-01 00:00:00,"6,5 days",15111566,15111566.0,0,0 days,15111566,15060255
        Cubiertas,,,0 hrs,0 hrs,95,2024-09-24 09:00:00,0001-01-01 00:00:00,"6,5 days",15111566,15111566.0,0,0 days,15111566,15060255
          Canoas,,,0 hrs,0 hrs,100,2024-09-24 09:00:00,2024-10-01 13:00:00,"5,5 days",2288669,2288669.0,100,0 days,2288669,2288669
            Retiro de canoas,,,0 hrs,0 hrs,100,2024-09-24 09:00:00,2024-09-24 19:00:00,1 day,133712,133712.0,100,0 days,133712,133712
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,100,2024-09-27 15:00:00,2024-10-01 13:00:00,2 days,2154957,2154957.0,100,0 days,2154957,2154957
          Ruanas,,,0 hrs,0 hrs,100,2024-09-24 09:00:00,2024-10-02 13:00:00,"6,5 days",1908660,1908660.0,100,0 days,1908660,1908660
            Retiro de ruanas,,,0 hrs,0 hrs,100,2024-09-24 09:00:00,2024-09-25 13:00:00,"1,5 days",137142,137142.0,100,0 days,137142,137142
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,100,2024-10-01 15:00:00,2024-10-02 13:00:00,1 day,1771518,1771518.0,100,0 days,1771518,1771518
          Mantenimiento,,,0 hrs,0 hrs,100,2024-09-24 09:00:00,2024-09-27 13:00:00,"3,5 days",10862926,10862926.0,100,0 days,10862926,10862926
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,100,2024-09-24 09:00:00,2024-09-27 13:00:00,"3,5 days",10862926,10862926.0,100,0 days,10862926,10862926
          Retiro de bajantes,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",51311,51311.0,0,0 days,51311,0
      Aula 4,,,0 hrs,0 hrs,56,2024-10-02 15:00:00,0001-01-01 00:00:00,6 days,16527856,16527856.0,0,0 days,16527856,12713748
        Cubierta,,,0 hrs,0 hrs,56,2024-10-02 15:00:00,0001-01-01 00:00:00,6 days,16527856,16527856.0,0,0 days,16527856,12713748
          Canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,3762797,3762797.0,0,0 days,3762797,0
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,3547755,3547755.0,0,0 days,3547755,0
            Retiro de canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",215042,215042.0,0,0 days,215042,0
          Ruanas,,,0 hrs,0 hrs,100,2024-10-02 15:00:00,2024-10-10 13:00:00,6 days,1850822,1850822.0,100,0 days,1850822,1850822
            Retiro de ruanas,,,0 hrs,0 hrs,100,2024-10-02 15:00:00,2024-10-03 13:00:00,1 day,132986,132986.0,100,0 days,132986,132986
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,100,2024-10-09 15:00:00,2024-10-10 13:00:00,1 day,1717836,1717836.0,100,0 days,1717836,1717836
          Mantenimiento,,,0 hrs,0 hrs,100,2024-10-02 15:00:00,2024-10-07 13:00:00,3 days,10862926,10862926.0,100,0 days,10862926,10862926
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,100,2024-10-02 15:00:00,2024-10-07 13:00:00,3 days,10862926,10862926.0,100,0 days,10862926,10862926
          Retiro de bajantes,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",51311,51311.0,0,0 days,51311,0
      Circulación,,,0 hrs,0 hrs,62,2024-10-10 15:00:00,0001-01-01 00:00:00,"7,5 days",16580827,16580827.0,0,0 days,16580827,12690971
        Cubierta,,,0 hrs,0 hrs,62,2024-10-10 15:00:00,0001-01-01 00:00:00,"7,5 days",16580827,16580827.0,0,0 days,16580827,12690971
          Canoas,,,0 hrs,0 hrs,50,2024-10-10 15:00:00,0001-01-01 00:00:00,"4,5 days",1755980,1755980.0,0,0 days,1755980,113626
            Retiro de canoas,,,0 hrs,0 hrs,100,2024-10-10 15:00:00,2024-10-11 13:00:00,1 day,113626,113626.0,100,0 days,113626,113626
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,1642354,1642354.0,0,0 days,1642354,0
          Ruanas,,,0 hrs,0 hrs,33,2024-10-10 15:00:00,0001-01-01 00:00:00,"7,5 days",2421492,2421492.0,0,0 days,2421492,173990
            Retiro de ruanas,,,0 hrs,0 hrs,100,2024-10-10 15:00:00,2024-10-11 19:00:00,"1,5 days",173990,173990.0,100,0 days,173990,173990
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,3 days,2247502,2247502.0,0,0 days,2247502,0
          Mantenimientos,,,0 hrs,0 hrs,100,2024-10-10 15:00:00,2024-10-15 19:00:00,"3,5 days",12358201,12358201.0,100,0 days,12358201,12358201
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,100,2024-10-10 15:00:00,2024-10-15 19:00:00,"3,5 days",12358201,12358201.0,100,0 days,12358201,12358201
          Retiro de bajantes,,,0 hrs,0 hrs,100,2024-10-11 15:00:00,2024-10-11 19:00:00,"0,5 days",45154,45154.0,100,0 days,45154,45154
  Bloque 1,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"36,5 days",122795178,122795178.0,0,0 days,122795178,0
    Piso 1,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"36,5 days",122795178,122795178.0,0,0 days,122795178,0
      Aula 5,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,8 days,20257442,20257442.0,0,0 days,20257442,0
        Cubierta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,6 days,18118693,18118693.0,0,0 days,18118693,0
          Canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,2498522,2498522.0,0,0 days,2498522,0
            Retiro de canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,137848,137848.0,0,0 days,137848,0
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,2360674,2360674.0,0,0 days,2360674,0
          Ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,6 days,1619470,1619470.0,0,0 days,1619470,0
            Retiro de ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",116363,116363.0,0,0 days,116363,0
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,1503107,1503107.0,0,0 days,1503107,0
          Mantenimiento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,4 days,14000701,14000701.0,0,0 days,14000701,0
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,4 days,14000701,14000701.0,0,0 days,14000701,0
        Piso,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,2138749,2138749.0,0,0 days,2138749,0
          PULIDA Y BRILLADA DE PISO EN BALDOSA GRANO EXISTENTE. Incluye todo lo necesario para su correcta construcción y funcionamiento.,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,2138749,2138749.0,0,0 days,2138749,0
      Aula 6,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,10 days,20305013,20305013.0,0,0 days,20305013,0
        Cubierta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,7 days,18165744,18165744.0,0,0 days,18165744,0
          Canoa,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,6 days,2552062,2552062.0,0,0 days,2552062,0
            Retiro de canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,140802,140802.0,0,0 days,140802,0
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,2411260,2411260.0,0,0 days,2411260,0
          Ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,7 days,1654173,1654173.0,0,0 days,1654173,0
            Retiro de ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,118857,118857.0,0,0 days,118857,0
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,1535316,1535316.0,0,0 days,1535316,0
          Mantenimiento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,4 days,13959509,13959509.0,0,0 days,13959509,0
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,4 days,13959509,13959509.0,0,0 days,13959509,0
        Piso,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,3 days,2139269,2139269.0,0,0 days,2139269,0
          PULIDA Y BRILLADA DE PISO EN BALDOSA GRANO EXISTENTE. Incluye todo lo necesario para su correcta construcción y funcionamiento.,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,3 days,2139269,2139269.0,0,0 days,2139269,0
      Aula Preescola,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,9 days,21872891,21872891.0,0,0 days,21872891,0
        Cubierta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,6 days,19682311,19682311.0,0,0 days,19682311,0
          Canoa,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,3936586,3936586.0,0,0 days,3936586,0
            Retiro de canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,226956,226956.0,0,0 days,226956,0
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,3709630,3709630.0,0,0 days,3709630,0
          Ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,6 days,1777561,1777561.0,0,0 days,1777561,0
            Retiro de ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,127722,127722.0,0,0 days,127722,0
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,1649839,1649839.0,0,0 days,1649839,0
          Mantenimiento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,4 days,13968164,13968164.0,0,0 days,13968164,0
