INSTITUCIÓN/SEDE/FRENTE DE TRABAJO;CLIENTE;CONTRATO INTERADMINISTRATIVO;PROYECTO;SUBPROYECTO;AÑO CTO;CONTRATO;COMUNA;TIPOLOGÍA;ESTADO;F_INICIO;"PLAZO(DÍAS)";"PRÓRROGAS(DÍAS)";"SUSPENSIONES(DÍAS)";TIEMPO TOTAL;F_FINAL;PLAZO REMANENTE;VALOR INICIAL OBRA;ADICIONES;BALANCES O REDISTRIBUCIONES;VALOR ACTUAL DEL CONTRATO;VALOR ACTUAL REAJUSTES ;VALOR ACTUAL IMPREVISTOS; VALOR ACTUAL CONTINGENCIAS ;VALOR TOTAL CONTRATO+AJUSTES+IMPREVISTOS; PAGADO_CONTRATO ; PAGADO_REAJUSTES ; PAGADO_IMPREV ;" DESCUENTOS(Informativo) ";VALOR PAGADO; FECHA ÚLTIMO PAGO ; %PAGADO ;%PRG; %FISICO_PRG ;%EJEC; %FISICO_EJEC ;%DESVÍO;%PRG_$;%EJEC_$;%DESVÍO_$;SUPERVISOR;APOYO;CONTRATO/PROYECTO
CARABOBO NORTE;ALCALDÍA;90098;Proyectos del Norte;Carabobo;2021;3302-502;04 ARANJUEZ;Obra;En ejecución;17/01/2022;240;739;70;1049;30/11/2024;0,00; $ 8.935.161.548 ; $ - ; $ 29.966.214.123 ; $ 38.901.375.671 ; $ 534.565.799 ; $ 255.131.542 ;; $ 39.691.073.012 ; $ 30.003.947.367 ; $ 534.565.799 ; $ - ;; $ 30.538.513.166 ;30/07/2024;76,94%;100,00%; $ 39.691.073.012 ;92,00%; $ 36.515.787.171 ;-8,00%;100,00%;82,27%;-17,73%;MÓNICA VÉLEZ;MARTA CECILIA LÓPEZ GAVIRIA;90098 DE 2021  PROYECTOS NORTE
PLACA HUELLA CAÑO DON JUAN;OTROS;383-2021;Yondó;Vías;2022;3302-133;;Obra;Suspendido;07/06/2022;270;229;191;690;26/04/2024;0,00; $ 1.127.283.845 ; $ - ; $ - ; $ 1.127.283.845 ; $ 272.400.758 ; $ - ;; $ 1.399.684.603 ; $ 5.171.178.200 ; $ - ; $ - ;; $ 5.171.178.200 ;;369,45%;69,30%; $ 969.981.430 ;70,40%; $ 985.377.961 ;1,10%;69,30%;70,40%;1,10%;YISLEN RINCÓN;;383 DE 2021- YONDÓ
CARMEN DE VIBORAL;OTROS;4564;Mincultural;Carmen de Viboral;2022;3302-137;;Obra;Suspendido;22/03/2022;210;30;393;633;14/12/2023;0,00; $ 14.028.359.293 ; $ - ; $ 2.172.620.374 ; $ 16.200.979.667 ;;;; $ 16.200.979.667 ; $ 867.399.570 ; $ - ; $ - ;; $ 867.399.570 ;;5,35%;80,00%; $ 12.960.783.734 ;5,35%; $ 866.752.412 ;-74,65%;80,00%;5,35%;-74,65%;MÓNICA VÉLEZ;CAROLINA MARÍA PÉREZ PINEDA;4564-MINCULTURAL
UT CORREDOR VIAL YONDÓ 2022 - YE DE MARLEY;OTROS;292-2021;Yondó;Vías;2022;3302-143;;Interventoría;Suspendido;15/07/2022;540;0;101;641;15/04/2024;0,00; $ 2.531.177.549 ; $ - ; $ - ; $ 2.531.177.549 ; $ - ; $ - ;; $ 2.531.177.549 ; $ 1.512.471.144 ; $ - ; $ - ;; $ 1.512.471.144 ;;59,75%;97,07%; $ 2.457.115.555 ;97,07%; $ 2.457.115.555 ;0,00%;;;0,00%;YISLEN RINCÓN;;292 DE 2021- YONDÓ
PAVIMENTACIÓN YE DE MARLEY;OTROS;292-2021;Yondó;Vías;2022;3302-144;;Obra;Suspendido;15/07/2022;540;0;101;641;15/04/2024;0,00; $ 28.720.573.800 ; $ - ; $ - ; $ 28.720.573.800 ; $ 892.827.248 ; $ 222.170.635 ;; $ 29.835.571.683 ; $ 20.502.498.240 ; $ - ; $ - ;; $ 20.502.498.240 ;;68,72%;75,19%; $ 22.433.366.348 ;87,47%; $ 26.097.174.551 ;12,28%;75,19%;87,47%;12,28%;YISLEN RINCÓN;;292 DE 2021- YONDÓ
CONSTRUCTORA KPB;OTROS;4564;Mincultural;Interventoría;2022;3306-13;;Interventoría;Suspendido;22/03/2022;210;315;237;762;21/04/2024;0,00; $ 895.689.200 ; $ - ; $ 448.465.440 ; $ 1.344.154.640 ;;;; $ 1.344.154.640 ; $ 1.163.439.537 ; $ - ; $ - ;; $ 1.163.439.537 ;;86,56%;99,00%; $ 1.330.713.094 ;99,00%; $ 1.330.713.094 ;0,00%;99,00%;77,65%;-21,35%;MÓNICA VÉLEZ;CAROLINA MARÍA PÉREZ PINEDA;4564-MINCULTURAL
UT MEDIA LADERA;ALCALDÍA;90649;PUI;Comuna 13;2022;3306-17;13 SAN JAVIER;Interventoría;En ejecución;09/05/2022;315;363;195;873;27/09/2024;0,00; $ 701.595.310 ; $ 887.484.398 ;; $ 1.589.079.708 ;;;; $ 1.589.079.708 ; $ 1.496.994.438 ; $ - ; $ - ;; $ 1.496.994.438 ;;94,21%;94,21%; $ 1.497.071.993 ;94,21%; $ 1.497.071.993 ;0,00%;94,21%;94,21%;0,00%;DIEGO FERNANDO DURÁN;ALEJANDRA SÁNCHEZ RESTREPO;90649 DE 2021 PUI PRIORIZADOS
UT INAO IGUANA ;ALCALDÍA;90649;PUI;La Iguana;2023;3306-26;07 ROBLEDO;Interventoría;En ejecución;28/12/2022;150;;104;254;07/09/2023;0,00; $ 572.311.115 ; $ - ; $ - ; $ 572.311.115 ;;;; $ 572.311.115 ; $ 408.373.066 ; $ - ; $ - ;; $ 408.373.066 ;;71,36%;36,30%; $ 207.748.935 ;36,30%; $ 207.748.935 ;0,00%;36,30%;0,00%;-36,30%;DIEGO FERNANDO DURÁN;ALEJANDRA SÁNCHEZ RESTREPO;90649 DE 2021 PUI PRIORIZADOS
CONSTRUMULL SAS - CAÑO DON JUAN;OTROS;383-2021;Yondó;Vías;2022;3306-26;;Interventoría;Suspendido;07/06/2022;300;200;191;691;27/04/2024;0,00; $ 621.621.000 ; $ - ; $ - ; $ 621.621.000 ; $ - ; $ - ;; $ 621.621.000 ; $ 550.107.480 ; $ - ; $ - ;; $ 550.107.480 ;;88,50%;87,12%; $ 541.556.215 ;87,12%; $ 541.556.215 ;0,00%;;;0,00%;YISLEN RINCÓN;;383 DE 2021- YONDÓ
TODAS LAS ANTERIORES ;ALCALDÍA;96223;Salud;Interventoría;2023;3302-174;01 POPULAR;Interventoría;En ejecución;18/04/2023;150;1000;;1150;10/06/2026;555,00; $ 2.079.185.040 ; $ 6.426.957.202 ;; $ 8.506.142.242 ;;;; $ 8.506.142.242 ; $ 7.724.986.622 ; $ - ; $ - ;; $ 7.724.986.622 ;30/06/2024;90,82%;; $ - ;; $ - ;0,00%;;;0,00%;CARLOS MAURICIO SUAREZ MULETT;;96223 DE 2022 VF SALUD
